X,Y,Z
402209.65459560807,4442957.384806265,195.6864172347503
402224.15459560807,4442908.884806265,195.67657747035716
402166.65459560807,4442894.384806265,195.66236246687276
402204.65459560807,4442834.884806265,195.60454169765183
402498.15459560807,4442938.884806265,195.56247682456163
402488.15459560807,4442898.884806265,195.5521307348522
402425.15459560807,4442875.884806265,195.44640674788113
402407.15459560807,4442920.884806265,195.43750691163217
402412.65459560807,4442922.384806265,195.38366573861003
402193.65459560807,4442938.384806265,195.2622698086359
402500.65459560807,4442876.384806265,195.20605474769775
402202.15459560807,4442960.384806265,195.13396495493095
402462.15459560807,4442862.884806265,195.11292507031362
402167.65459560807,4442878.384806265,195.082382130671
402148.65459560807,4442875.384806265,195.06480245563532
402164.15459560807,4442871.384806265,195.04236140643644
402572.65459560807,4443015.884806265,194.96734163081973
402221.15459560807,4442963.384806265,194.8719112785372
402131.15459560807,4442954.384806265,194.85096662658873
402137.15459560807,4442884.384806265,194.8241971886915
402577.65459560807,4442923.384806265,194.8179519086503
402145.65459560807,4442931.884806265,194.81187760326864
402518.15459560807,4442907.384806265,194.80128121809537
402223.15459560807,4442916.884806265,194.7970866672154
402194.65459560807,4442885.384806265,194.7322330552912
402154.65459560807,4442965.884806265,194.71020075722072
402511.65459560807,4442911.384806265,194.70589786419998
402163.15459560807,4442882.384806265,194.689369559638
402183.15459560807,4442915.884806265,194.6760461738491
402405.15459560807,4442889.384806265,194.6748535398013
402156.65459560807,4442826.384806265,194.63539874806264
402151.65459560807,4442828.384806265,194.56941389616952
402401.65459560807,4442866.384806265,194.53664071351147
402474.65459560807,4442977.384806265,194.51530155442754
402510.65459560807,4442906.884806265,194.41082055159833
402178.65459560807,4442834.884806265,194.38474337683135
402495.65459560807,4442893.384806265,194.34586847454506
402133.65459560807,4442926.384806265,194.34455950599073
402402.15459560807,4442883.384806265,194.31570804150334
402173.15459560807,4442828.384806265,194.24849123604002
402174.65459560807,4442835.884806265,194.23475666278085
402219.15459560807,4442945.884806265,194.1584566893868
402511.65459560807,4442977.884806265,194.0884364305914
402133.15459560807,4442893.384806265,194.0709758919769
402473.15459560807,4442883.384806265,194.06981646097807
402190.65459560807,4442841.884806265,194.06974878749574
402116.15459560807,4442937.384806265,194.0427805807459
402164.15459560807,4442949.384806265,193.96239712741266
402186.65459560807,4442834.884806265,193.91013621937122
402156.15459560807,4442870.384806265,193.90959543422713
402217.65459560807,4442951.384806265,193.85096794389938
402495.65459560807,4442909.884806265,193.79650940102198
402497.65459560807,4442905.884806265,193.7878978604598
402138.15459560807,4442891.884806265,193.7631516899714
402192.65459560807,4442906.884806265,193.72044605574473
402213.15459560807,4442900.884806265,193.70567302347635
402187.15459560807,4442868.884806265,193.67665759976444
402399.15459560807,4442822.384806265,193.62651350173422
402487.65459560807,4442973.384806265,193.61473877797116
402188.65459560807,4442864.884806265,193.60501752013982
402452.15459560807,4442869.384806265,193.55487578598343
402170.15459560807,4442923.384806265,193.5446244926589
402224.15459560807,4442953.884806265,193.53433603903503
402403.15459560807,4442839.884806265,193.52400977153155
